up_count,down_count,ngram,total_count,polar_score,polarity
6,26,당첨/NNG,32,0.33508320173982714,Dovish
9,28,시행사/NNG,37,0.46672303099475926,Dovish
10,32, 특전/NNG,42,0.4537585023560159,Dovish
4,13, 경찰대/NNG,17,0.44677760231976943,Dovish
17,40,광역/NNG,57,0.6171115632041816,Dovish
46,92, 놔두/VV,138,0.7260136037696253,Dovish
9,26,다급/NNG,35,0.5026248026097407,Dovish
6,25, 펀드평가/NNG,31,0.34848652980942024,Dovish
7,24, 투자금액/NNG;늘/VV,31,0.42350793553228144,Dovish
10,30, 법무사/NNG,40,0.48400906917975023,Dovish
39,79,주택저당증권/NNG,118,0.7168235581522884,Dovish
10,21, 주택/NNG;수요/NNG;줄/VV,31,0.6914415273996433,Dovish
14,29,원금보장형/NNG,43,0.7009786519155004,Dovish
21,61,나가/VV,82,0.49987821898892243,Dovish
8,21, 깎인/VV,29,0.5531532219197145,Dovish
8,16,잠시/NNG,24,0.7260136037696253,Dovish
6,12, 가동/NNG;멈추/VV,18,0.7260136037696254,Dovish
5,14, 수요/NNG;꺾/VV,19,0.5185811455497324,Dovish
8,18,세관/NNG,26,0.6453454255730003,Dovish
7,25, 바닥났/VV,32,0.40656761811099024,Dovish
7,16, 경제/NNG;밝/VA,23,0.6352619032984222,Dovish
5,14,소득분배/NNG,19,0.5185811455497324,Dovish
5,15, 흉내/NNG,20,0.48400906917975023,Dovish
9,18, 조폭/NNG,27,0.7260136037696254,Dovish
4,15, 이자/NNG;하락/NNG,19,0.3872072553438002,Dovish
24,52, 가격/NNG;하락/NNG;막/VV,76,0.6701664034796543,Dovish
28,61, 드러낸다/VV,89,0.6665042919852299,Dovish
15,30, 불안/NNG;없/VA,45,0.7260136037696253,Dovish
3,14, 느껴야/VV,17,0.3111486873298395,Dovish
5,13,항소심/NNG,18,0.5584720028997119,Dovish
13,26,붐/NNG,39,0.7260136037696254,Dovish
6,14, 들린/VV,20,0.622297374659679,Dovish
49,99, 지수/NNG;빠지/VV,148,0.7186801330244776,Dovish
5,13, 비켜갈/VV,18,0.5584720028997119,Dovish
5,11, 번다는/VV,16,0.6600123670632958,Dovish
16,45,정치인/NNG,61,0.5162763404584002,Dovish
4,28, 지표/NNG;매우/MAG;좋/VA,32,0.20743245821989298,Dovish
22,75,여/NNG,97,0.42592798087818023,Dovish
7,16, 명사/NNG,23,0.6352619032984222,Dovish
31,70, 화상/NNG,101,0.6430406204816682,Dovish
18,37, 서울시교육감/NNG,55,0.7063916144785545,Dovish
54,112, 유해/NNG,166,0.7000845464921388,Dovish
10,29,투자자보호/NNG,39,0.5006990370825003,Dovish
17,53,대략/MAG,70,0.465744576003156,Dovish
34,78, 비대/NNG,112,0.6329349366196735,Dovish
12,24,직무/NNG,36,0.7260136037696254,Dovish
11,25, 물타기/NNG,36,0.6388919713172704,Dovish
36,77,서로/MAG,113,0.6788698632651042,Dovish
31,79, 따른다/VV,110,0.5697828282748959,Dovish
13,32, 갑절/NNG,45,0.5898860530628207,Dovish
