ngram,total_count,up_count,down_count,polarity_score,polarity
여왕/NNG,187,56,90,0.6222222222222222,Dovish
날아들/VV,43,14,26,0.5384615384615384,Dovish
수분/NNG,73,27,36,0.75,Dovish
그랜드슬램/NNG,41,13,20,0.65,Dovish
완결/NNG,91,33,46,0.717391304347826,Dovish
해약/NNG,526,176,234,0.7521367521367521,Dovish
회복/NNG;하락/NNG,16,6,10,0.6,Dovish
천문학/NNG,290,98,148,0.6621621621621622,Dovish
갚/VV,5220,1746,2414,0.7232808616404308,Dovish
기업회계/NNG,54,19,27,0.7037037037037037,Dovish
리파이낸싱/NNG,717,260,343,0.7580174927113703,Dovish
채권/NNG;가격/NNG;떨어/VV,222,67,102,0.6568627450980392,Dovish
금융시장/NNG;작/VV;않/VX,19,5,8,0.625,Dovish
불가피성/NNG,71,22,37,0.5945945945945946,Dovish
공론화/NNG,26,7,15,0.4666666666666667,Dovish
무역/NNG;흑자/NNG;확대/NNG,76,22,43,0.5116279069767442,Dovish
확장/NNG;추세/NNG,33,12,16,0.75,Dovish
세월/NNG,1740,517,792,0.6527777777777778,Dovish
벚꽃/NNG,42,13,27,0.48148148148148145,Dovish
내뱉/VV,29,10,15,0.6666666666666666,Dovish
소감/NNG,188,65,99,0.6565656565656566,Dovish
맸/VV,32,9,14,0.6428571428571429,Dovish
차마/MAG,16,6,8,0.75,Dovish
잠겨/VV,102,23,64,0.359375,Dovish
엮여/VV,36,12,16,0.75,Dovish
황사/NNG,162,40,95,0.42105263157894735,Dovish
항간/NNG,45,10,18,0.5555555555555556,Dovish
뒤죽박죽/NNG,22,6,9,0.6666666666666666,Dovish
상대방/NNG,446,154,203,0.7586206896551724,Dovish
배고픈/VA,23,7,13,0.5384615384615384,Dovish
우울/NNG,466,165,238,0.6932773109243697,Dovish
불길/NNG,161,53,90,0.5888888888888889,Dovish
고통지수/NNG,17,6,8,0.75,Dovish
따른다면/VV,20,8,11,0.7272727272727273,Dovish
파란/VA,75,23,32,0.71875,Dovish
내쉬/VV,111,39,58,0.6724137931034483,Dovish
노동/NNG;비용/NNG;증가/NNG,70,24,37,0.6486486486486487,Dovish
어렵/VA;우려/NNG,231,73,103,0.7087378640776699,Dovish
화답/NNG,476,149,227,0.6563876651982379,Dovish
수요/NNG;살/VV,158,56,81,0.691358024691358,Dovish
지날/VV,101,34,51,0.6666666666666666,Dovish
울릴/VV,21,7,10,0.7,Dovish
잉/NNG,59,19,31,0.6129032258064516,Dovish
지시/VV,18,5,8,0.625,Dovish
녹음/NNG,148,52,74,0.7027027027027027,Dovish
고용/NNG;지표/NNG;좋/VA,116,32,56,0.5714285714285714,Dovish
얼어붙/VV,1802,628,874,0.7185354691075515,Dovish
나와야/VV,600,204,268,0.7611940298507462,Dovish
라라/NNG,57,16,29,0.5517241379310345,Dovish
고용/NNG;지표/NNG;예상/NNG;좋/VA,30,12,16,0.75,Dovish
오피/NNG,65,17,39,0.4358974358974359,Dovish
좋/VA;fed/NNG;금리/NNG;인상/NNG,15,3,8,0.375,Dovish
비농업/NNG;고용자수/NNG;증가/NNG,165,50,68,0.7352941176470589,Dovish
임금/NNG;오르/VV,301,90,134,0.6716417910447762,Dovish
임금/NNG;늘/VV,56,13,31,0.41935483870967744,Dovish
힘있/VA,22,9,12,0.75,Dovish
만나/VV,3121,1059,1384,0.7651734104046243,Dovish
강경파/NNG,109,40,54,0.7407407407407407,Dovish
부시장/NNG,58,11,29,0.3793103448275862,Dovish
담합/NNG,2165,607,1282,0.4734789391575663,Dovish
증축/NNG,182,63,83,0.7590361445783133,Dovish
지분법평가/NNG,21,7,10,0.7,Dovish
본고사/NNG,26,6,20,0.3,Dovish
서문/NNG,16,6,9,0.6666666666666666,Dovish
그야말로/MAG,632,219,316,0.6930379746835443,Dovish
관세율/NNG,150,47,73,0.6438356164383562,Dovish
