ngram,total_count,up_count,down_count,polarity_score,polarity
아마도/MAG,769,371,269,1.379182156133829,Hawkish
엊그제/NNG,24,14,9,1.5555555555555556,Hawkish
콘탱고/NNG,107,64,33,1.9393939393939394,Hawkish
노동/NNG;생산성/NNG;증가/NNG,22,16,4,4.0,Hawkish
물가/NNG;안정/NNG,2950,1405,1072,1.310634328358209,Hawkish
늪/NNG;탈출/NNG,17,8,4,2.0,Hawkish
셉/NNG,21,10,6,1.6666666666666667,Hawkish
결함/NNG,323,155,112,1.3839285714285714,Hawkish
난야/NNG,82,46,23,2.0,Hawkish
우려/NNG;일시적/VAX,24,13,9,1.4444444444444444,Hawkish
산업/NNG;성장/NNG,180,85,57,1.4912280701754386,Hawkish
합선/NNG,41,31,6,5.166666666666667,Hawkish
벨/NNG,206,90,65,1.3846153846153846,Hawkish
정정/NNG,265,120,88,1.3636363636363635,Hawkish
블/NNG,234,120,75,1.6,Hawkish
주가조작/NNG,316,152,109,1.3944954128440368,Hawkish
테이프/NNG,175,82,60,1.3666666666666667,Hawkish
수거/NNG,119,62,37,1.6756756756756757,Hawkish
소프트패치/NNG;우려/NNG,16,11,2,5.5,Hawkish
관문/NNG,222,104,73,1.4246575342465753,Hawkish
싸워/VV,35,18,13,1.3846153846153846,Hawkish
기업/NNG;실적/NNG;실망/NNG,62,30,18,1.6666666666666667,Hawkish
낙관론/NNG;경계/NNG,40,20,15,1.3333333333333333,Hawkish
지표/NNG;약하/VA,46,21,12,1.75,Hawkish
회계기준/NNG,486,283,148,1.912162162162162,Hawkish
기대/NNG;호조/NNG,32,15,9,1.6666666666666667,Hawkish
너머/NNG,51,26,17,1.5294117647058822,Hawkish
노려보/VV,45,21,15,1.4,Hawkish
스모/NNG,125,105,6,17.5,Hawkish
커트/NNG,55,31,17,1.8235294117647058,Hawkish
버너/NNG,36,21,11,1.9090909090909092,Hawkish
베리/NNG,126,62,44,1.4090909090909092,Hawkish
인상/NNG;상쇄/NNG,16,13,1,13.0,Hawkish
콜/NNG;금리/NNG;오르/VV,243,127,75,1.6933333333333334,Hawkish
연구비/NNG,49,21,16,1.3125,Hawkish
중국발/NNG,2166,1082,712,1.5196629213483146,Hawkish
선제공격/NNG,51,19,13,1.4615384615384615,Hawkish
전략물자/NNG,36,22,8,2.75,Hawkish
오토/NNG,866,502,223,2.2511210762331837,Hawkish
약/NNG,1433,792,406,1.9507389162561577,Hawkish
물류/NNG,1057,539,344,1.566860465116279,Hawkish
연금수령액/NNG,72,35,23,1.5217391304347827,Hawkish
휴가/NNG,1149,537,390,1.376923076923077,Hawkish
투자/NNG;많/VA,89,42,30,1.4,Hawkish
독재/NNG,128,56,37,1.5135135135135136,Hawkish
입김/NNG,268,128,96,1.3333333333333333,Hawkish
