up_count,down_count,ngram,total_count,polar_score,polarity
23,24, 침체/NNG;빠지/VV;않/VX,47,1.3915260738917818,Hawkish
9,8, 변동성/NNG;크/VV;가능성/NNG;높/VA,17,1.6335306084816572,Hawkish
43,47, 끊긴/VV,90,1.328450423918889,Hawkish
8,8, 흩어진/VV,16,1.4520272075392506,Hawkish
31,29, 재배치/NNG,60,1.552167014955751,Hawkish
19,19, 통화정책/NNG;부양/NNG,38,1.4520272075392509,Hawkish
31,31, 매우/MAG;완화/NNG,62,1.452027207539251,Hawkish
9,8,증시자금/NNG,17,1.6335306084816572,Hawkish
48,48, 소재산업/NNG,96,1.4520272075392509,Hawkish
14,10, 운송지수/NNG,24,2.032838090554951,Hawkish
95,103, 합법/NNG,198,1.3392483953031926,Hawkish
17,17, 위험자산/NNG;선호/NNG;높/VV,34,1.4520272075392509,Hawkish
20,17, 높/VA;인플레이션/NNG;우려/NNG,37,1.7082673029873539,Hawkish
16,4, 인플레이션/NNG;우려/NNG;낮/VA,20,5.8081088301570025,Hawkish
30,21, 인플레이션/NNG;매우/MAG;낮/VA,51,2.07432458219893,Hawkish
81,37, 주채무계열/NNG,118,3.178762265153495,Hawkish
11,12, 중간선/NNG,23,1.331024940244313,Hawkish
13,10, 만이/NNG,23,1.887635369801026,Hawkish
77,76, 로드/NNG,153,1.4711328286910832,Hawkish
34,8, 행단/NNG,42,6.171115632041817,Hawkish
55,42, 자율규제/NNG,97,1.901464200349019,Hawkish
15,16, 관리기능/NNG,31,1.3612755070680476,Hawkish
33,32, 제재안/NNG,65,1.4974030577748523,Hawkish
104,108, 입김/NNG,212,1.3982484220748341,Hawkish
64,62, 고정이하여신/NNG,126,1.4988667948792267,Hawkish
47,29, 대손충당금비율/NNG,76,2.3532854742877514,Hawkish
26,25, 충당금/NNG;적립/NNG;부담/NNG,51,1.510108295840821,Hawkish
11,6, 경기/NNG;회복/NNG;위험/NNG,17,2.662049880488626,Hawkish
12,11, 건전성/NNG;부정적/VAX,23,1.58402968095191,Hawkish
50,51, 뒤흔든/VV,101,1.423556085822795,Hawkish
14,7, 한계소비성향/NNG,21,2.9040544150785017,Hawkish
20,14, 조지/NNG,34,2.07432458219893,Hawkish
11,8, 경기/NNG;둔화/NNG;금융시장/NNG;불안/NNG,19,1.9965374103664697,Hawkish
10,9, 물가/NNG;상승/NNG;압력/NNG;증대/NNG,19,1.6133635639325008,Hawkish
14,9, 불확실성/NNG;성장/NNG,23,2.258708989505501,Hawkish
20,17, 안정/NNG;위협/NNG,37,1.7082673029873539,Hawkish
15,15, 위협/NNG;아니/VCN,30,1.4520272075392506,Hawkish
14,13, 부러지/VV,27,1.5637216081191931,Hawkish
85,67, 주식자산/NNG,152,1.8421240692662137,Hawkish
10,10, 실물/NNG;경기/NNG;호전/NNG,20,1.4520272075392509,Hawkish
12,10, 편도/NNG,22,1.742432649047101,Hawkish
52,37, 계량화/NNG,89,2.0406868862713794,Hawkish
22,20, 미치/NNG,42,1.5972299282931757,Hawkish
88,89, 크리스마스/NNG,177,1.4357122950949894,Hawkish
13,12,역발상/NNG,25,1.5730294748341882,Hawkish
28,29, 밤새/NNG,57,1.4019573038310007,Hawkish
9,10, 상승률/NNG;추세/NNG,19,1.3068244867853258,Hawkish
15,6, 폐쇄/NNG;피하/VV,21,3.6300680188481267,Hawkish
38,3, 전환로/NNG,41,18.39234462883051,Hawkish
28,29, 채무증권/NNG,57,1.4019573038310007,Hawkish
32,22, 주택건설협회/NNG,54,2.1120395746025467,Hawkish
24,5, 단기자금시장/NNG;불안/NNG,29,6.969730596188404,Hawkish
18,7, 빌린다/VV,25,3.733784247958074,Hawkish
15,15, 불균등/NNG,30,1.4520272075392506,Hawkish
14,13, 경제/NNG;내외/NNG;성장/NNG,27,1.5637216081191931,Hawkish
11,6, 실업자/NNG;감소/NNG,17,2.662049880488626,Hawkish
10,8, 중견그룹/NNG,18,1.8150340094240636,Hawkish
10,8, 경제/NNG;대외/NNG;불확실성/NNG,18,1.8150340094240636,Hawkish
41,39, 국제/NNG;유가/NNG;불안/NNG,80,1.5264901412592125,Hawkish
57,60, 위험/NNG;불확실성/NNG,117,1.3794258471622882,Hawkish
11,10, 업황/NNG;호전/NNG,21,1.5972299282931757,Hawkish
167,1, 예측액/NNG,168,242.4885436590549,Hawkish
18,16, 마무리짓기/NNG,34,1.6335306084816572,Hawkish
19,15, 중전회/NNG,34,1.839234462883051,Hawkish
16,15, 회사채/NNG;수요예측/NNG;성공/NNG,31,1.5488290213752007,Hawkish
8,8, 기대/NNG;시장/NNG;강세/NNG,16,1.4520272075392506,Hawkish
26,26, 경기/NNG;활황/NNG,52,1.4520272075392509,Hawkish
15,15, 한계기업/NNG;늘/VV,30,1.4520272075392506,Hawkish
10,11, 금리/NNG;하락/NNG;멈추/VV,21,1.3200247341265916,Hawkish
23,0, 박재/NNG,23,inf,Hawkish
10,11, 내비/NNG,21,1.3200247341265916,Hawkish
71,73, 비서/NNG,144,1.4122456402094086,Hawkish
57,16, 오이/NNG,73,5.172846926858581,Hawkish
20,21, 유통산업/NNG,41,1.3828830547992865,Hawkish
66,72, 핑/NNG,138,1.331024940244313,Hawkish
118,54, 초과이익/NNG,172,3.1729483424005847,Hawkish
21,11, 주주지분/NNG,32,2.7720519416658425,Hawkish
94,102, bps/NNG,196,1.338142720673427,Hawkish
10,8, 기업가치평가/NNG,18,1.8150340094240636,Hawkish
15,4, 유한/VV,19,5.44510202827219,Hawkish
13,14, 잔존가치/NNG,27,1.3483109784293044,Hawkish
16,16, 경쟁기업/NNG,32,1.4520272075392506,Hawkish
15,3, 재비/NNG,18,7.260136037696253,Hawkish
16,6, 경재/NNG,22,3.8720725534380014,Hawkish
20,14, 유스/NNG,34,2.07432458219893,Hawkish
12,10, 시우/NNG,22,1.742432649047101,Hawkish
13,4, 험/VV,17,4.719088424502566,Hawkish
14,10, 코루나/NNG,24,2.032838090554951,Hawkish
8,8, 경기/NNG;회복/NNG;기대/NNG;강하/VA,16,1.4520272075392506,Hawkish
16,3, 경기/NNG;개선/NNG;모멘텀/NNG,19,7.744145106876003,Hawkish
22,18, 선진국/NNG;경기/NNG;개선/NNG,40,1.774699920325751,Hawkish
34,35, 금융시장/NNG;부담/NNG,69,1.4105407158952723,Hawkish
18,13, 과열/NNG;경계/NNG,31,2.010499210438963,Hawkish
28,30, 과열/NNG;부담/NNG,58,1.3552253937033008,Hawkish
23,15, 동조성/NNG,38,2.2264417182268508,Hawkish
39,40, 생산기업/NNG,79,1.4157265273507695,Hawkish
28,31, fed/NNG;예상/NNG;금리/NNG;인상/NNG,59,1.3115084455193233,Hawkish
15,16, 원리금/NNG;상환/NNG;부담/NNG;증가/NNG,31,1.3612755070680476,Hawkish
30,29, 자금/NNG;조달/NNG;비용/NNG;증가/NNG,59,1.5020971112475008,Hawkish
9,9, 완화정책/NNG;철회/NNG,18,1.4520272075392509,Hawkish
25,23, 회색/NNG,48,1.5782904429774465,Hawkish
165,141, 자동차금융/NNG,306,1.6991807747799745,Hawkish
14,11, 레드오션/NNG,25,1.8480346277772284,Hawkish
16,8, 계륵/NNG,24,2.9040544150785013,Hawkish
25,18, 상위업종/NNG,43,2.0167044549156263,Hawkish
28,26, 만장/NNG,54,1.5637216081191931,Hawkish
32,29, 결제비중/NNG,61,1.6022369186640009,Hawkish
21,11, 공공기관/NNG;부채/NNG;감축/NNG,32,2.7720519416658425,Hawkish
12,7, 공기업/NNG;부채/NNG;감축/NNG,19,2.489189498638716,Hawkish
16,6, 위험/NNG;사전/NNG;차단/NNG,22,3.8720725534380014,Hawkish
9,9, 부진/NNG;수출/NNG;호조/NNG,18,1.4520272075392509,Hawkish
12,6, 유동성/NNG;위험/NNG;확대/NNG,18,2.9040544150785017,Hawkish
10,10, 회복/NNG;부담/NNG,20,1.4520272075392509,Hawkish
9,9, 통화/NNG;하락/NNG;방어/NNG,18,1.4520272075392509,Hawkish
23,18, 투자심리/NNG;약하/VA,41,1.855368098522376,Hawkish
20,2, 정요/NNG,22,14.520272075392509,Hawkish
10,7, 적어져/VV,17,2.07432458219893,Hawkish
20,19, 경제/NNG;불확실성/NNG;확대/NNG,39,1.5284496921465798,Hawkish
14,6, 자본비율/NNG;충족/NNG,20,3.3880634842582515,Hawkish
36,22, 이탈/NNG;가속/NNG,58,2.376044521427865,Hawkish
13,13, 금리/NNG;인상/NNG;가능성/NNG;지지/NNG,26,1.4520272075392509,Hawkish
21,19, 상환전환우선주/NNG,40,1.604872176753909,Hawkish
29,8, 노동통계국/NNG,37,5.263598627329784,Hawkish
45,45, 휴무/NNG,90,1.4520272075392509,Hawkish
